# list of object assets to load in this scene
[ASSETS]

mario.txt
brick.txt
coin.txt
goomba.txt
cloud.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	20	10

# KOOPAS

# BRICK
1	0	4
1	0	20
1	0	36
1	0	52
1	0	68
1	0	84
1	0	100
1	0	116
1	0	132
1	0	148
1	0	164


1	0	250
1	16	250
1	32	250
1	48	250
1	64	250
1	80	250
1	96	250
1	112	250
1	128	250
1	144	250
1	160	250
1	176	250
1	192	250
1	208	250
1	224	250
1	240	250
1	256	250
1	272	250
1	288	250
1	304	250
1	320	250
1	336	250
1	352	250
1	368	250

1	368	148
1	368	164

#COIN
4	100	120
4	120	120
4	140	120
4	160	120
4	250	120

#Goomba
2	300	10

#Platform
5	90	136	16	15	16	51000	52000	53000
5	120	90	16	16	8	20001	20001	20001

#Portal 
50	300	110	316	140	2
